Instance,original clu. VIG,original clu. LIG,original mod. VIG,original mod. LIG,original mod. VCG,original mod. LCG,original parity,parFalse_maskNone clu. VIG,parFalse_maskNone clu. LIG,parFalse_maskNone mod. VIG,parFalse_maskNone mod. LIG,parFalse_maskNone mod. VCG,parFalse_maskNone mod. LCG,parFalse_maskNone parity,parFalse_maskclause clu. VIG,parFalse_maskclause clu. LIG,parFalse_maskclause mod. VIG,parFalse_maskclause mod. LIG,parFalse_maskclause mod. VCG,parFalse_maskclause mod. LCG,parFalse_maskclause parity,parFalse_maskvar clu. VIG,parFalse_maskvar clu. LIG,parFalse_maskvar mod. VIG,parFalse_maskvar mod. LIG,parFalse_maskvar mod. VCG,parFalse_maskvar mod. LCG,parFalse_maskvar parity,"parFalse_mask['clause', 'var'] clu. VIG","parFalse_mask['clause', 'var'] clu. LIG","parFalse_mask['clause', 'var'] mod. VIG","parFalse_mask['clause', 'var'] mod. LIG","parFalse_mask['clause', 'var'] mod. VCG","parFalse_mask['clause', 'var'] mod. LCG","parFalse_mask['clause', 'var'] parity",parTrue_maskNone clu. VIG,parTrue_maskNone clu. LIG,parTrue_maskNone mod. VIG,parTrue_maskNone mod. LIG,parTrue_maskNone mod. VCG,parTrue_maskNone mod. LCG,parTrue_maskNone parity,parTrue_maskclause clu. VIG,parTrue_maskclause clu. LIG,parTrue_maskclause mod. VIG,parTrue_maskclause mod. LIG,parTrue_maskclause mod. VCG,parTrue_maskclause mod. LCG,parTrue_maskclause parity,parTrue_maskvar clu. VIG,parTrue_maskvar clu. LIG,parTrue_maskvar mod. VIG,parTrue_maskvar mod. LIG,parTrue_maskvar mod. VCG,parTrue_maskvar mod. LCG,parTrue_maskvar parity,"parTrue_mask['clause', 'var'] clu. VIG","parTrue_mask['clause', 'var'] clu. LIG","parTrue_mask['clause', 'var'] mod. VIG","parTrue_mask['clause', 'var'] mod. LIG","parTrue_mask['clause', 'var'] mod. VCG","parTrue_mask['clause', 'var'] mod. LCG","parTrue_mask['clause', 'var'] parity"
unsat_matching_60_247_80381.cnf,0.4715199615199614,0.47151996151996156,0.48259826613921397,0.5968247622254019,0.6551420733916464,0.6060729971718646,"(120, 436)","(0.033298265, 0.023491012)","(0.016649133, 0.011745506)","(0.94665575, 0.004790671)","(0.94665575, 0.004790671)","(0.9849329, 0.0026445724)","(0.9849329, 0.0026445724)","(311.7, 0.0)","(0.07688358, 0.11335524)","(0.03929644, 0.059316613)","(0.9124031, 0.10108309)","(0.9134181, 0.097907506)","(0.9625331, 0.06981195)","(0.96224517, 0.070798874)","(333.5, 0.4)","(0.03402319, 0.018425483)","(0.017011596, 0.009212742)","(0.92114913, 0.0697717)","(0.92155486, 0.06824202)","(0.9731606, 0.039480396)","(0.9727396, 0.040811345)","(292.6, 0.0)","(0.074117675, 0.1174803)","(0.053985834, 0.11217068)","(0.8737253, 0.24128996)","(0.888443, 0.19478399)","(0.93682784, 0.15711813)","(0.93915474, 0.14976117)","(313.9, 16.8)","(0.030000176, 0.011303416)","(0.015860165, 0.0069336807)","(0.94521075, 0.013954789)","(0.9584203, 0.009155822)","(0.98736584, 0.0018018027)","(0.9259089, 0.007727721)","(102.8, 265.4)","(0.064775154, 0.12321187)","(0.0471256, 0.10324626)","(0.90306985, 0.12170229)","(0.9339851, 0.0724509)","(0.9603114, 0.08209901)","(0.8941661, 0.11522599)","(105.2, 278.9)","(0.03263757, 0.01852703)","(0.016831368, 0.010595554)","(0.91206473, 0.08373148)","(0.9459139, 0.027221166)","(0.9739855, 0.03589125)","(0.91531694, 0.02805108)","(101.9, 255.5)","(0.0663598, 0.111427285)","(0.056943707, 0.125752)","(0.8654936, 0.24115014)","(0.89098036, 0.20687726)","(0.938399, 0.15438375)","(0.8898075, 0.13598062)","(105.3, 280.7)"
unsat_3color_150_800_51520.cnf,0.15020962370962357,0.5751048118548119,0.47331199999999995,0.6043185185185186,0.6647522497704317,0.6052694214876034,"(150, 1500)","(0.14293393, 0.017627629)","(0.07146697, 0.008813814)","(0.57809883, 0.014721686)","(0.57954913, 0.014851635)","(0.7896378, 0.008255969)","(0.7889843, 0.0066219713)","(970.0, 0.0)","(0.15419307, 0.02438481)","(0.07784341, 0.013539179)","(0.5514959, 0.07372446)","(0.5509896, 0.07635856)","(0.771961, 0.055431142)","(0.7720475, 0.055381957)","(1037.7, 0.5)","(0.14450064, 0.016568517)","(0.07225667, 0.008282862)","(0.55594015, 0.053846493)","(0.5572728, 0.05000896)","(0.7783184, 0.03313739)","(0.7775041, 0.031441312)","(967.2, 0.2)","(0.15623683, 0.030774806)","(0.0976956, 0.073967256)","(0.53915113, 0.11442909)","(0.5488448, 0.085004896)","(0.76193696, 0.08266982)","(0.7619245, 0.08224377)","(1023.4, 14.8)","(0.14930722, 0.020582035)","(0.10510348, 0.010272426)","(0.5747474, 0.015503196)","(0.67157763, 0.011237879)","(0.8014396, 0.008289705)","(0.70135176, 0.008149685)","(136.6, 904.9)","(0.15027088, 0.027761502)","(0.115869746, 0.037979305)","(0.55275095, 0.0853743)","(0.6433033, 0.088717565)","(0.77921015, 0.06869334)","(0.68327796, 0.059199642)","(137.2, 956.6)","(0.14814559, 0.03178129)","(0.10626159, 0.0235132)","(0.5626191, 0.06652968)","(0.6529254, 0.062145278)","(0.7897186, 0.033921536)","(0.69528985, 0.014267172)","(137.9, 907.8)","(0.16370472, 0.029080646)","(0.12782004, 0.06665118)","(0.54790074, 0.123202726)","(0.6426114, 0.13051376)","(0.7726334, 0.09301623)","(0.67953205, 0.06826524)","(139.0, 956.7)"
sat_dominating_80_1665_27876.cnf,0.6921193380063154,0.7895746530282268,0.1761754392414026,0.3910963085320311,0.5500498871447626,0.5372504151353503,"(190, 3230)","(0.14136757, 0.0032547591)","(0.09370656, 0.007261727)","(0.23936269, 0.0033460099)","(0.2520156, 0.00567217)","(0.57201606, 0.003674656)","(0.57183486, 0.002390568)","(2623.6, 35.9)","(0.14423457, 0.0062528457)","(0.09661185, 0.01057598)","(0.23529732, 0.011229807)","(0.24963546, 0.010075185)","(0.5673305, 0.012784232)","(0.5664015, 0.012037322)","(2669.2, 38.8)","(0.17784841, 0.11468206)","(0.11112555, 0.059790764)","(0.22427149, 0.049511433)","(0.24264963, 0.028771792)","(0.5624067, 0.035303086)","(0.56395614, 0.027612751)","(2545.3, 96.2)","(0.1943603, 0.16417314)","(0.115230285, 0.0715991)","(0.22155309, 0.06185218)","(0.24349234, 0.042486824)","(0.55547386, 0.052242838)","(0.557528, 0.045871664)","(2582.3, 134.6)","(0.14202717, 0.0032078288)","(0.1565053, 0.0121614635)","(0.24206705, 0.0058147446)","(0.29443842, 0.0076168966)","(0.5785465, 0.0048230723)","(0.5410601, 0.0043463157)","(183.5, 2521.5)","(0.1453758, 0.015434789)","(0.16083369, 0.026409628)","(0.23693874, 0.015935257)","(0.28693974, 0.0229852)","(0.5683266, 0.025724573)","(0.5340364, 0.022849204)","(184.5, 2576.6)","(0.17620435, 0.10864143)","(0.18593235, 0.077931955)","(0.22732048, 0.04685438)","(0.2814858, 0.053438175)","(0.56663007, 0.03503717)","(0.53495157, 0.024713852)","(183.4, 2499.3)","(0.1950198, 0.17069496)","(0.20123748, 0.14729516)","(0.22158477, 0.059676185)","(0.27684438, 0.06616697)","(0.55945855, 0.059892077)","(0.52810824, 0.046847504)","(185.1, 2541.4)"
sat_op_45_249_99728.cnf,0.5333333333333338,0.2483435862383232,0.21975308641975308,0.2755880483153211,0.44649176398320084,0.39250946457544617,"(384, 390)","(0.07201649, 0.015599473)","(0.036008246, 0.0077997367)","(0.9292654, 0.014079039)","(0.928836, 0.014497235)","(0.969185, 0.0057735713)","(0.9692192, 0.0057723755)","(417.9, 0.0)","(0.08630377, 0.112678766)","(0.053452183, 0.088519976)","(0.87545574, 0.1522682)","(0.8831277, 0.12758705)","(0.933879, 0.11068888)","(0.9341071, 0.10943313)","(446.1, 5.3)","(0.07803289, 0.03949178)","(0.03916459, 0.02008685)","(0.88555175, 0.15168284)","(0.88846225, 0.14515862)","(0.94573784, 0.08187511)","(0.94548243, 0.082701474)","(394.3, 1.2)","(0.11536286, 0.2121738)","(0.059559863, 0.112011135)","(0.8436391, 0.274619)","(0.8558423, 0.23756038)","(0.91327316, 0.1874547)","(0.9160511, 0.1784704)","(401.5, 37.4)","(0.06495284, 0.017044676)","(0.039674267, 0.010284898)","(0.93394244, 0.01608098)","(0.9716233, 0.0051932554)","(0.976182, 0.0047389125)","(0.95757025, 0.007914296)","(263.7, 263.7)","(0.107241675, 0.109578714)","(0.08942206, 0.1371631)","(0.87783355, 0.1589195)","(0.93858975, 0.09370084)","(0.9397539, 0.11273837)","(0.9206921, 0.12273274)","(272.8, 277.1)","(0.061416347, 0.028964533)","(0.04167601, 0.02074298)","(0.8687237, 0.15414563)","(0.93811053, 0.09884469)","(0.9468802, 0.07848709)","(0.92629826, 0.07433098)","(250.9, 254.4)","(0.12835042, 0.21202303)","(0.0693728, 0.103297725)","(0.829447, 0.27117184)","(0.88444966, 0.250794)","(0.9111158, 0.19307284)","(0.895203, 0.17531742)","(275.6, 280.0)"
sat_5color_150_630_30044.cnf,0.281028416028416,0.6405142080142076,0.6114583333333333,0.7636265432098766,0.7727925925925926,0.6586614540466392,"(150, 1200)","(0.12959622, 0.0143979415)","(0.06479811, 0.0071989708)","(0.7067385, 0.019388432)","(0.70639586, 0.019094992)","(0.8573575, 0.007390434)","(0.85692644, 0.0070567406)","(764.9, 0.0)","(0.13820386, 0.036047537)","(0.07067184, 0.022163374)","(0.66959465, 0.108943686)","(0.671172, 0.10245315)","(0.8332383, 0.074594416)","(0.8330823, 0.07489623)","(807.8, 1.1)","(0.11798985, 0.018334122)","(0.058994927, 0.009167061)","(0.7032553, 0.070495)","(0.7032715, 0.06985192)","(0.85607755, 0.03328692)","(0.85575265, 0.03131705)","(728.1, 0.0)","(0.13941142, 0.03256041)","(0.088215455, 0.07146046)","(0.6624694, 0.1516372)","(0.6702492, 0.12294023)","(0.8263963, 0.10218482)","(0.8259889, 0.09928952)","(793.5, 13.2)","(0.13142967, 0.020240566)","(0.083973676, 0.013024992)","(0.71382403, 0.024680117)","(0.8058902, 0.018202703)","(0.8699757, 0.009799696)","(0.7566668, 0.012316372)","(134.5, 692.2)","(0.154723, 0.04602075)","(0.11160405, 0.05502109)","(0.6738264, 0.11375232)","(0.76927364, 0.117291935)","(0.83966386, 0.08499536)","(0.728259, 0.077806324)","(136.5, 743.0)","(0.13631532, 0.018471748)","(0.09285155, 0.011262533)","(0.6824604, 0.07163616)","(0.78516173, 0.05400832)","(0.85558, 0.03432353)","(0.747818, 0.0140913045)","(134.7, 691.1)","(0.14468043, 0.04006546)","(0.11183079, 0.07238346)","(0.6531695, 0.15622368)","(0.75119936, 0.15841949)","(0.83180654, 0.11211475)","(0.7302865, 0.08381748)","(136.5, 738.7)"
unsat_op_90_775_7648.cnf,0.5757575757575762,0.08967086400393919,0.23658810325476992,0.24497788728945227,0.46353053908201597,0.48216014187372475,"(760, 1530)","(0.1410605, 0.014137591)","(0.07053025, 0.0070687956)","(0.3947869, 0.010089404)","(0.39042744, 0.00973254)","(0.67986953, 0.008635984)","(0.6805495, 0.00828531)","(1524.0, 0.2)","(0.1511544, 0.020506507)","(0.09483053, 0.06963076)","(0.3754535, 0.06051371)","(0.3839081, 0.04093209)","(0.66108346, 0.06304882)","(0.6616974, 0.063764244)","(1574.7, 18.1)","(0.15703024, 0.02883878)","(0.08716586, 0.040052075)","(0.37800705, 0.06873727)","(0.3879077, 0.041386746)","(0.67206085, 0.037820525)","(0.6722083, 0.03628866)","(1482.6, 21.1)","(0.1873838, 0.14071974)","(0.09395548, 0.07111092)","(0.3613751, 0.102289796)","(0.37390473, 0.07776683)","(0.6500868, 0.09938906)","(0.6503566, 0.09113918)","(1512.9, 75.4)","(0.14230773, 0.0070685665)","(0.18302134, 0.012256867)","(0.39093658, 0.007808675)","(0.60886836, 0.00886373)","(0.7070303, 0.00340013)","(0.691179, 0.006301784)","(610.3, 1088.9)","(0.14873278, 0.024741076)","(0.19228, 0.04116314)","(0.3785564, 0.05935635)","(0.5872833, 0.090508915)","(0.6864574, 0.07615477)","(0.6729499, 0.06937146)","(620.2, 1126.1)","(0.1627246, 0.029378975)","(0.18993235, 0.01680417)","(0.37992477, 0.06673561)","(0.58741736, 0.097075395)","(0.694554, 0.04551253)","(0.68300986, 0.037603613)","(600.6, 1067.6)","(0.18999684, 0.13676426)","(0.20348044, 0.034705527)","(0.36041492, 0.1028106)","(0.5671484, 0.14753553)","(0.67299765, 0.10568371)","(0.6615962, 0.09320777)","(623.1, 1122.5)"
sat_op_10_24_82916.cnf,0.5999999999999999,0.2623809523809524,0.08000000000000002,0.1859504132231405,0.3307078344885528,0.3731617647058824,"(34, 35)","(0.0, 0.0)","(0.0, 0.0)","(0.06666667, 0.21081851)","(0.06666667, 0.21081851)","(0.9824896, 0.0016772058)","(0.9824896, 0.0016772058)","(60.7, 0.0)","(0.074355125, 0.23513155)","(0.038450144, 0.121590026)","(0.1746684, 0.28914556)","(0.17708573, 0.29451042)","(0.96913373, 0.039440468)","(0.96953285, 0.038179386)","(59.6, 0.3)","(0.0, 0.0)","(0.0, 0.0)","(0.16944444, 0.28341502)","(0.16944444, 0.28341502)","(0.9594523, 0.072932966)","(0.9594523, 0.072932966)","(56.8, 0.0)","(0.09301587, 0.294142)","(0.057867803, 0.18299405)","(0.116666675, 0.24907236)","(0.13819541, 0.24716468)","(0.9185794, 0.20228298)","(0.9213578, 0.19349702)","(56.7, 3.6)","(0.0, 0.0)","(0.0, 0.0)","(0.06666667, 0.21081851)","(0.06666667, 0.21081851)","(0.9814979, 0.0017749555)","(0.9526633, 0.006715061)","(31.6, 32.8)","(0.08445521, 0.2670708)","(0.047231637, 0.14935955)","(0.13825104, 0.30508488)","(0.14110649, 0.31285936)","(0.975021, 0.021569684)","(0.9458254, 0.03664172)","(32.1, 33.0)","(0.0, 0.0)","(0.0, 0.0)","(0.16111112, 0.26508015)","(0.16111112, 0.26508015)","(0.9689808, 0.04089804)","(0.93690765, 0.03941614)","(29.6, 30.6)","(0.0916746, 0.28990054)","(0.05915909, 0.18707746)","(0.0, 0.0)","(0.02293645, 0.072531424)","(0.9135793, 0.21731119)","(0.8953048, 0.19817814)","(32.7, 32.6)"
sat_tseitin_20_155_22809.cnf,0.5692207792207792,0.5387219763380754,0.2367111111111112,0.2387505067339309,0.39338440451991286,0.4136534123185308,"(446, 447)","(0.09056444, 0.03810576)","(0.04528222, 0.01905288)","(0.907327, 0.019125935)","(0.9074589, 0.019454677)","(0.9568998, 0.0067284503)","(0.956956, 0.006686066)","(470.7, 0.0)","(0.11243735, 0.10332062)","(0.083345816, 0.13669749)","(0.8314452, 0.19297795)","(0.8487239, 0.13984357)","(0.90449446, 0.1517761)","(0.9088122, 0.13809185)","(490.2, 24.1)","(0.11468861, 0.15224965)","(0.059393216, 0.082557864)","(0.8285731, 0.24382547)","(0.8420409, 0.20038153)","(0.9162084, 0.1355567)","(0.91902333, 0.1268409)","(436.1, 8.2)","(0.17444357, 0.29071772)","(0.1290652, 0.27752525)","(0.81153166, 0.28589815)","(0.8127104, 0.28235644)","(0.8783736, 0.251184)","(0.8844941, 0.2317713)","(453.1, 55.0)","(0.065404385, 0.020640725)","(0.045616508, 0.014056435)","(0.8955046, 0.021582859)","(0.9687554, 0.005679807)","(0.9609683, 0.0073438575)","(0.93805057, 0.0101160705)","(297.3, 307.0)","(0.101684704, 0.10848397)","(0.09560989, 0.15148637)","(0.83679116, 0.19717522)","(0.9181407, 0.15448298)","(0.9126806, 0.15385747)","(0.89698523, 0.13311829)","(319.8, 321.2)","(0.12441963, 0.151751)","(0.06657799, 0.048667874)","(0.8261259, 0.24211273)","(0.9039714, 0.20295593)","(0.91879284, 0.13548404)","(0.8990515, 0.1155819)","(286.5, 286.7)","(0.16653912, 0.2932466)","(0.13929152, 0.28198114)","(0.80469924, 0.28383458)","(0.8719403, 0.3021639)","(0.8824192, 0.25134978)","(0.87033826, 0.22596392)","(317.6, 316.9)"
sat_dominating_60_970_47815.cnf,0.6887698168238949,0.7986089357767895,0.1934643183550644,0.4007366013825844,0.5469062646964185,0.5357968534328226,"(150, 1860)","(0.15725271, 0.014824338)","(0.07862636, 0.007412169)","(0.46337715, 0.0056749308)","(0.45883626, 0.011747029)","(0.7214165, 0.005601073)","(0.72203106, 0.005573)","(1273.3, 0.0)","(0.15568995, 0.017472751)","(0.08039134, 0.0148113575)","(0.45112, 0.05844105)","(0.45285138, 0.055053364)","(0.71156186, 0.043955218)","(0.7126878, 0.04530198)","(1314.4, 1.7)","(0.1744176, 0.06832897)","(0.09666379, 0.06359892)","(0.42745847, 0.104679465)","(0.43926987, 0.06970158)","(0.70162183, 0.05922378)","(0.7035127, 0.054359227)","(1238.8, 23.2)","(0.20239314, 0.17418182)","(0.09936239, 0.081304215)","(0.42028838, 0.1292757)","(0.42976207, 0.09643431)","(0.6888498, 0.09892746)","(0.6916939, 0.08956734)","(1270.6, 69.9)","(0.15734836, 0.013884378)","(0.12157047, 0.011397126)","(0.4521366, 0.017689899)","(0.5401031, 0.017540952)","(0.73066103, 0.0092841275)","(0.6499105, 0.007241833)","(142.0, 1208.3)","(0.14914511, 0.021023612)","(0.121923685, 0.035818294)","(0.44576615, 0.06388733)","(0.5288325, 0.073580414)","(0.71623576, 0.05884432)","(0.63617575, 0.054110236)","(141.4, 1245.7)","(0.17515382, 0.06587537)","(0.13509412, 0.04609192)","(0.4298688, 0.09736975)","(0.51472306, 0.108673714)","(0.7127558, 0.062446173)","(0.64054036, 0.03537503)","(140.0, 1164.9)","(0.20070167, 0.1881806)","(0.1662443, 0.17941178)","(0.4236588, 0.13085034)","(0.5072428, 0.14105976)","(0.6989405, 0.107746966)","(0.62874466, 0.08046148)","(141.8, 1242.5)"
unsat_op_45_248_57351.cnf,0.5333333333333338,0.09275895348392765,0.21975308641975308,0.2294157067137484,0.4456342124396853,0.4016724686217052,"(368, 370)","(0.05745879, 0.025771676)","(0.028729394, 0.012885838)","(0.9336212, 0.014267075)","(0.933416, 0.0145002175)","(0.97458184, 0.003887753)","(0.9745661, 0.0038846063)","(393.3, 0.0)","(0.083858624, 0.11923655)","(0.049806632, 0.08439617)","(0.88901675, 0.15473607)","(0.89527005, 0.13502918)","(0.94210833, 0.108608775)","(0.9432637, 0.104585454)","(421.3, 4.2)","(0.058980286, 0.02439059)","(0.027426654, 0.008800138)","(0.88200474, 0.15973783)","(0.88004446, 0.16593061)","(0.94504184, 0.08675944)","(0.94520074, 0.08595078)","(379.9, 1.2)","(0.11484655, 0.2062349)","(0.058525443, 0.10656767)","(0.84677637, 0.272799)","(0.85899436, 0.23435162)","(0.9147377, 0.18747163)","(0.9176987, 0.17798355)","(391.0, 33.4)","(0.05705636, 0.01808067)","(0.03477187, 0.010269492)","(0.9338908, 0.014305269)","(0.9667848, 0.008613127)","(0.97762537, 0.0029226241)","(0.95466536, 0.004757889)","(251.3, 260.9)","(0.09731016, 0.096250765)","(0.08072404, 0.12402448)","(0.88155586, 0.1538096)","(0.93813133, 0.092784055)","(0.9431926, 0.10911363)","(0.9228922, 0.12027988)","(266.2, 260.2)","(0.078434765, 0.038124677)","(0.0471006, 0.024553744)","(0.88593304, 0.17762092)","(0.942873, 0.08988127)","(0.95365524, 0.07754163)","(0.9339029, 0.07873392)","(244.0, 244.9)","(0.12339513, 0.19384229)","(0.06796359, 0.095294885)","(0.8420129, 0.27088666)","(0.8898638, 0.24573837)","(0.9174768, 0.18821077)","(0.9048648, 0.1744075)","(265.0, 265.1)"
sat_op_28_119_92842.cnf,0.5454545454545451,0.22114057161326067,0.18452380952380953,0.22882779558104233,0.42453080770135615,0.38495588954151505,"(179, 184)","(0.011627298, 0.006622209)","(0.005813649, 0.0033111046)","(0.9246113, 0.016820246)","(0.9246113, 0.016820246)","(0.9899433, 0.0014536267)","(0.9899433, 0.0014536267)","(226.8, 0.0)","(0.08037748, 0.18554848)","(0.043775715, 0.10408521)","(0.8931397, 0.08880024)","(0.8988099, 0.07186141)","(0.9677893, 0.06703078)","(0.96879065, 0.06386514)","(236.0, 2.0)","(0.014680365, 0.019607464)","(0.0073401826, 0.009803732)","(0.9023207, 0.0988641)","(0.9023207, 0.0988641)","(0.9708254, 0.061959926)","(0.9708254, 0.061959926)","(209.8, 0.1)","(0.09405677, 0.23938148)","(0.050071694, 0.12928142)","(0.84774196, 0.27698645)","(0.85980356, 0.23886028)","(0.9273776, 0.19937435)","(0.9300691, 0.19086334)","(223.3, 18.7)","(0.013335304, 0.019187089)","(0.0070697046, 0.010451563)","(0.9270245, 0.021406962)","(0.93480384, 0.020542687)","(0.9907362, 0.0011472447)","(0.97851145, 0.0064114444)","(135.7, 142.6)","(0.072533086, 0.17587553)","(0.053577114, 0.14235349)","(0.90080994, 0.09620752)","(0.92316324, 0.03816731)","(0.9667074, 0.076356634)","(0.95290136, 0.080191754)","(141.2, 143.8)","(0.023677777, 0.049789175)","(0.012728612, 0.027101424)","(0.8900461, 0.13778245)","(0.9031104, 0.12587549)","(0.97381085, 0.053506695)","(0.9633999, 0.05596781)","(129.6, 134.8)","(0.08938058, 0.23938215)","(0.0498418, 0.13534768)","(0.8374423, 0.2764988)","(0.8624147, 0.23544824)","(0.92625797, 0.20259601)","(0.9199737, 0.1797984)","(142.4, 148.0)"
sat_4color_200_950_73213.cnf,0.16773049173049162,0.5838652458652461,0.4840395061728395,0.6466722222222225,0.7271495,0.623452,"(200, 1800)","(0.14956859, 0.0116924895)","(0.074784294, 0.0058462447)","(0.47062784, 0.012455549)","(0.46784458, 0.014408371)","(0.72400033, 0.0071793078)","(0.72366875, 0.00698253)","(1258.9, 0.0)","(0.15501045, 0.018722678)","(0.07954098, 0.01307416)","(0.4463942, 0.055237323)","(0.4468023, 0.05359538)","(0.70851266, 0.043991566)","(0.70765483, 0.044435807)","(1306.8, 1.9)","(0.15185522, 0.013714003)","(0.07592761, 0.0068570017)","(0.45709577, 0.022436121)","(0.45668483, 0.026627045)","(0.72201514, 0.014422301)","(0.7216643, 0.014549661)","(1245.0, 0.0)","(0.14931878, 0.016018234)","(0.08383105, 0.035309423)","(0.44360322, 0.07143681)","(0.4471647, 0.060784813)","(0.70790505, 0.059422374)","(0.70499325, 0.05787066)","(1309.4, 7.9)","(0.14743459, 0.01229328)","(0.12508675, 0.0134028755)","(0.46614116, 0.011441455)","(0.5766338, 0.015671415)","(0.73859674, 0.005916337)","(0.670639, 0.0059652305)","(183.7, 1149.0)","(0.15496096, 0.021285277)","(0.13966098, 0.04092847)","(0.4388557, 0.06161321)","(0.5448682, 0.07222596)","(0.7148984, 0.05892858)","(0.6516632, 0.055697225)","(185.8, 1221.5)","(0.1539052, 0.0125395795)","(0.1335412, 0.014130827)","(0.45540428, 0.022840234)","(0.5678034, 0.02540162)","(0.7304916, 0.012207054)","(0.666605, 0.0070051467)","(184.2, 1158.7)","(0.15474865, 0.02245366)","(0.1343096, 0.05596377)","(0.4371791, 0.07732987)","(0.5365647, 0.0872107)","(0.7153098, 0.069476984)","(0.6531947, 0.0577731)","(184.5, 1221.0)"
sat_dominating_80_1665_28307.cnf,0.693433440570418,0.7909768966179704,0.1776654247653301,0.3837688195704525,0.5525503573749188,0.5362483244665904,"(190, 3230)","(0.1424246, 0.006146402)","(0.092258774, 0.006612593)","(0.2408067, 0.006255584)","(0.24949773, 0.0048618834)","(0.5711094, 0.0049479827)","(0.5714091, 0.004188865)","(2627.7, 32.1)","(0.14357674, 0.004765323)","(0.096123636, 0.020239715)","(0.23782022, 0.013956982)","(0.25179797, 0.009164398)","(0.56813526, 0.013991204)","(0.56803715, 0.013669786)","(2653.1, 34.4)","(0.1759791, 0.10790576)","(0.10754987, 0.058590703)","(0.22803111, 0.05082813)","(0.24688148, 0.028559916)","(0.5645596, 0.032298874)","(0.56678706, 0.026404593)","(2549.9, 98.6)","(0.19667459, 0.16876343)","(0.117758706, 0.070802115)","(0.22503288, 0.058844898)","(0.24223983, 0.04296154)","(0.55412054, 0.053120177)","(0.55681, 0.04564452)","(2563.0, 139.3)","(0.14045939, 0.0047406894)","(0.1572427, 0.010755931)","(0.24052265, 0.00926981)","(0.29284105, 0.0072436277)","(0.57680595, 0.0047625774)","(0.54082954, 0.0045879674)","(184.1, 2522.8)","(0.14640643, 0.015922898)","(0.17037316, 0.029037748)","(0.23578528, 0.020586425)","(0.29066676, 0.025393538)","(0.56896055, 0.025619438)","(0.53243, 0.023749849)","(185.3, 2565.7)","(0.17487685, 0.110722944)","(0.18811247, 0.08664793)","(0.22557855, 0.049305387)","(0.28069502, 0.051390372)","(0.5669897, 0.034824815)","(0.53524053, 0.022346895)","(183.6, 2493.3)","(0.19915476, 0.1709277)","(0.20640537, 0.14549793)","(0.22157669, 0.06071316)","(0.2715504, 0.06216162)","(0.5563261, 0.058079783)","(0.5240602, 0.044918433)","(184.3, 2560.2)"
sat_op_45_249_76351.cnf,0.5333333333333338,0.1536319147542058,0.21975308641975308,0.24072238658777118,0.44239732930209114,0.3936932590675848,"(376, 380)","(0.063369706, 0.017650438)","(0.031684853, 0.008825219)","(0.93117774, 0.015280411)","(0.93117774, 0.015280411)","(0.9724401, 0.0049439017)","(0.9725194, 0.0049001994)","(397.0, 0.0)","(0.08944334, 0.114859626)","(0.053780217, 0.085757025)","(0.8765483, 0.14924157)","(0.88370055, 0.12765788)","(0.9351761, 0.10757139)","(0.9344741, 0.10929943)","(436.3, 5.1)","(0.062812135, 0.024049627)","(0.031628292, 0.012251899)","(0.8756136, 0.17371462)","(0.8758996, 0.1711673)","(0.94512403, 0.08473445)","(0.94512224, 0.085287414)","(385.5, 1.3)","(0.124159776, 0.20420976)","(0.0628968, 0.104677394)","(0.8457413, 0.27594018)","(0.85906136, 0.2370861)","(0.9135914, 0.19343251)","(0.9174201, 0.18124668)","(392.4, 35.4)","(0.06487368, 0.027338034)","(0.04024975, 0.018277533)","(0.9103916, 0.024554487)","(0.96462107, 0.009625698)","(0.9707611, 0.0056522484)","(0.9550499, 0.006966781)","(264.4, 263.7)","(0.10064365, 0.10823557)","(0.08447446, 0.13153164)","(0.884292, 0.15457088)","(0.9391681, 0.098895766)","(0.9405497, 0.112200096)","(0.9222288, 0.1186164)","(271.9, 269.8)","(0.08002154, 0.028625635)","(0.047180258, 0.012309732)","(0.8625118, 0.16165751)","(0.9324428, 0.09456698)","(0.94886684, 0.07537331)","(0.92792815, 0.074493416)","(244.0, 250.8)","(0.12068814, 0.2061089)","(0.06811506, 0.10676206)","(0.83878213, 0.27176836)","(0.885602, 0.2535991)","(0.9150488, 0.1910321)","(0.90379316, 0.1704983)","(270.1, 271.8)"
